sequence,ax,ay,az,gx,gy,gz
347,270,1227,-228,-563,200,263
348,341,1199,-199,-540,137,247
349,403,1212,-158,-544,123,154
350,411,1139,-128,-605,186,65
351,375,999,-127,-671,312,28
352,265,736,-129,-655,440,-29
353,155,532,-115,-516,527,-142
354,49,457,-80,-293,574,-313
355,-46,492,-42,-61,592,-341
356,-119,513,-44,136,574,-34
357,-117,603,-145,325,492,150
358,-92,755,-244,518,351,51
359,-41,947,-238,637,200,-54
360,17,1060,-238,651,63,-55
361,41,1119,-377,611,-66,-155
362,98,1236,-385,564,-191,-256
363,175,1322,-269,466,-273,-101
364,211,1287,-222,345,-338,-22
365,252,1202,-276,293,-426,-235
366,349,1283,-294,308,-480,-461
367,426,1487,-253,307,-466,-514
368,476,1565,-304,271,-432,-311
369,548,1661,-392,256,-401,-215
370,612,1890,-400,230,-341,-389
371,640,2101,-391,92,-216,-506
372,615,2112,-457,-75,-68,-424
373,566,2122,-502,-146,70,-292
374,545,2252,-428,-175,207,-247
375,487,2341,-300,-250,339,-243
376,399,2316,-234,-356,450,-220
377,309,2231,-235,-390,510,-93
378,257,2226,-295,-298,489,43
379,260,2410,-346,-183,421,132
380,329,2641,-361,-193,359,341
381,424,2776,-362,-321,311,514
382,467,2800,-371,-464,244,411
383,453,2690,-412,-580,142,194
384,426,2494,-472,-634,9,181
385,477,2468,-533,-568,-143,278
386,609,2679,-594,-403,-290,353
387,784,2955,-684,-245,-393,461
388,928,3102,-833,-134,-436,470
389,1009,2963,-1026,23,-437,350
390,1087,2883,-1126,343,-414,240
391,1176,3075,-1059,710,-350,87
392,1166,3238,-971,835,-193,-21
393,1009,3165,-946,745,-21,-49
394,819,2939,-917,626,50,-86
395,668,2713,-840,576,10,-206
396,546,2544,-778,597,-86,-351
397,454,2453,-735,649,-217,-291
398,411,2423,-696,678,-384,-103
399,440,2428,-668,642,-558,62
400,528,2433,-634,528,-680,135
401,609,2344,-601,346,-723,147
402,625,2135,-587,145,-696,64
403,642,1949,-563,5,-622,-19
404,675,1808,-503,-57,-505,74
405,705,1636,-460,-56,-345,273
406,728,1533,-454,1,-159,353
407,708,1529,-481,78,39,219
408,666,1584,-458,120,255,201
409,621,1598,-413,93,480,428
410,544,1496,-435,59,658,602
411,489,1478,-490,88,748,482
412,448,1575,-581,145,777,263
413,445,1700,-577,138,779,332
414,460,1715,-489,-5,791,496
415,398,1551,-422,-231,807,274
416,277,1312,-363,-439,789,-67
417,179,1082,-285,-545,708,-193
418,112,900,-265,-511,583,-193
419,87,837,-231,-384,465,-237
420,66,837,-192,-280,387,-258
421,21,827,-205,-254,376,-347
422,-53,702,-218,-235,396,-334
423,-75,547,-233,-145,393,-209
424,-125,458,-282,40,355,-223
425,-180,476,-420,308,265,-256
426,-134,696,-577,620,119,-47
427,18,1028,-578,835,-39,316
428,134,1247,-500,805,-131,294
429,129,1243,-660,596,-145,-71
430,119,1206,-772,462,-191,-132
431,155,1206,-625,414,-272,133
432,162,1170,-464,298,-311,85
433,116,1025,-515,156,-325,-212
434,127,988,-706,172,-395,-283
435,291,1264,-803,321,-513,-102
436,497,1657,-671,343,-561,53
437,592,1834,-461,79,-462,-119
438,563,1713,-398,-300,-305,-439
