sequence,ax,ay,az,gx,gy,gz
422,936,167,109,-197,208,-3606
423,695,577,175,-142,282,-3633
424,492,855,240,-285,342,-3404
425,354,912,316,-495,410,-3121
426,206,861,401,-626,535,-3016
427,-91,838,473,-636,734,-2954
428,-579,930,518,-558,965,-2741
429,-1120,1037,532,-464,1150,-2235
430,-1593,1117,562,-420,1258,-1680
431,-1979,1122,578,-429,1295,-1210
432,-2240,1057,564,-434,1221,-666
433,-2306,1011,550,-364,1006,71
434,-2148,927,517,-217,672,1039
435,-1856,856,464,-17,260,1885
436,-1543,855,405,159,-202,2330
437,-1245,905,359,230,-688,2410
438,-916,864,291,197,-1143,2471
439,-535,668,189,177,-1500,2739
440,-146,525,105,249,-1715,2969
441,170,520,63,343,-1818,3000
442,457,488,33,408,-1834,3092
443,878,407,1,484,-1742,3558
444,1314,343,16,535,-1529,3922
445,1747,247,21,540,-1197,3822
446,2100,188,27,540,-803,3981
447,2321,234,56,521,-388,4008
448,2592,333,72,423,81,3803
449,2782,357,95,207,635,3818
450,2801,70,119,-42,1173,4048
451,2808,-192,141,-145,1544,4217
452,2730,7,231,-217,1752,3742
453,2442,245,326,-542,1984,2893
454,1906,141,386,-1027,2218,2973
455,1441,-367,465,-1396,2210,3905
456,1481,-944,607,-1522,1919,4507
457,1590,-1321,755,-1520,1576,3833
458,1391,-1499,829,-1524,1238,2957
459,1118,-1724,838,-1510,752,3232
460,1000,-1969,833,-1419,126,3637
461,1067,-2203,825,-1314,-571,3442
462,1279,-2495,729,-1189,-1263,3223
463,1531,-2707,611,-946,-1856,3031
464,1842,-2727,505,-618,-2320,2721
465,2238,-2581,406,-307,-2629,2186
466,2719,-2232,401,-76,-2709,1616
467,3236,-1783,490,29,-2496,1285
468,3740,-1389,649,20,-1973,763
469,4121,-1142,817,-84,-1175,203
470,4204,-1047,941,-251,-213,-88
471,3986,-1168,949,-389,738,-431
472,3584,-1434,863,-392,1503,-839
473,3131,-1680,774,-237,1976,-1324
474,2688,-1803,733,-33,2122,-1877
475,2348,-1897,748,114,1963,-2175
476,2137,-2000,748,247,1570,-2391
477,2060,-1990,745,417,1021,-2864
478,2108,-1881,746,583,417,-3289
479,2258,-1777,724,719,-135,-3501
480,2431,-1615,662,847,-542,-3701
481,2576,-1356,580,943,-762,-3885
482,2771,-1155,499,948,-816,-4031
483,2887,-997,411,887,-728,-4226
484,2854,-812,329,804,-488,-4357
485,2763,-603,256,678,-149,-4533
486,2557,-375,198,469,239,-4789
487,2229,-232,158,211,595,-4677
488,1912,-171,139,-23,893,-4487
489,1692,-241,125,-212,1141,-4396
490,1557,-283,130,-301,1344,-4133
491,1335,-195,150,-306,1496,-3814
492,1026,-79,191,-292,1535,-3671
493,790,8,262,-257,1405,-3455
494,698,103,329,-193,1165,-3270
495,598,205,376,-111,933,-3208
496,459,338,431,-20,711,-3149
497,450,495,476,69,477,-3006
498,449,582,490,155,280,-2835
