sequence,ax,ay,az,gx,gy,gz
355,-2454,737,795,1530,-176,2469
356,-2327,812,754,1332,-130,2353
357,-2184,880,711,1108,-91,2248
358,-2069,924,644,870,-95,2102
359,-1924,950,597,611,-131,2009
360,-1710,925,571,351,-187,1923
361,-1528,876,543,104,-247,1845
362,-1385,806,519,-132,-295,1822
363,-1276,722,480,-349,-317,1846
364,-1131,632,439,-528,-318,1750
365,-939,516,420,-658,-314,1405
366,-742,383,408,-728,-304,1041
367,-570,264,392,-734,-286,827
368,-452,189,369,-682,-255,649
369,-371,179,356,-571,-218,432
370,-276,198,328,-413,-217,221
371,-166,212,306,-249,-261,136
372,-56,207,265,-111,-318,214
373,78,186,222,-24,-356,364
374,226,149,194,15,-342,378
375,334,126,169,21,-244,147
376,390,109,170,7,-54,-252
377,342,96,165,-9,200,-647
378,221,63,154,-26,468,-901
379,48,-4,165,-49,709,-998
380,-232,-87,189,-61,906,-1045
381,-580,-156,250,-33,1052,-1245
382,-973,-180,301,9,1115,-1649
383,-1390,-161,331,6,1072,-2075
384,-1729,-139,434,-39,938,-2419
385,-2040,-83,571,-78,772,-2656
386,-2316,25,647,-115,596,-2697
387,-2522,134,717,-170,387,-2634
388,-2665,226,769,-250,146,-2622
389,-2774,357,787,-364,-55,-2584
390,-2750,488,865,-501,-153,-2582
391,-2619,542,942,-666,-147,-2686
392,-2621,441,990,-840,-48,-2794
393,-2798,343,1000,-953,141,-2729
394,-2893,305,996,-961,340,-2795
395,-2862,177,997,-925,475,-2999
396,-2920,0,983,-845,575,-2908
397,-3108,-113,989,-648,713,-2596
398,-3262,-59,1005,-305,869,-2384
399,-3277,4,953,73,948,-2350
400,-3380,-20,886,335,899,-2086
401,-3494,16,858,489,778,-1579
402,-3521,127,818,639,648,-1546
403,-3485,292,758,782,534,-1727
404,-3281,410,734,835,394,-1672
405,-3150,412,686,742,199,-1360
406,-3052,377,620,558,17,-898
407,-2866,321,598,393,-75,-827
408,-2747,253,536,274,-87,-1114
409,-2758,168,428,134,-82,-1085
